ID,text,source,cleantext,label1,label2,label3,final_label
1,"ভৌত জগৎ মূলত চারটি উপাদানের সমন্বয়ে তৈরি- (১) স্থান, (২) কাল (সময়) (৩) ভর এবং (৪) শক্তি।",HSC Physics,ভৌত জগৎ মূলত চারটি উপাদানের সমন্বয়ে তৈরি স্থান কাল সময় ভর এবং শক্তি,Physics,Physics,Physics,Physics
2,বলবিদ্যা বস্তুর উপর বলের ক্রিয়া সংক্রান্ত বিভিন্ন বিষয় আলোচনা করে।,HSC Physics,বলবিদ্যা বস্তুর উপর বলের ক্রিয়া সংক্রান্ত বিভিন্ন বিষয় আলোচনা করে,Physics,Physics,Physics,Physics
3,পদার্থের ধর্ম বস্তুর বিভিন্ন গুণ আলোচনা করে।,HSC Physics,পদার্থের ধর্ম বস্তুর বিভিন্ন গুণ আলোচনা করে,Physics,Physics,Physics,Physics
4,স্থিতিবিদ্যা স্থিতিশীল বস্তুর উপর বলের ক্রিয়া আলোচনা করে।,HSC Physics,স্থিতিবিদ্যা স্থিতিশীল বস্তুর উপর বলের ক্রিয়া আলোচনা করে,Physics,Physics,Physics,Physics
5,গতিবিদ্যা গতিশীল বস্তুর উপর বলের ক্রিয়া আলোচনা করে।,HSC Physics,গতিবিদ্যা গতিশীল বস্তুর উপর বলের ক্রিয়া আলোচনা করে,Physics,Physics,Physics,Physics
6,"যে ধর্ম সকল পদার্থেরই কম-বেশি রয়েছে তাকে পদার্থের সাধারণ ধর্ম বলে, যেমন ওজন, বিস্তৃতি, রোধ, স্থিতিস্থাপকতা ইত্যাদি।",HSC Physics,যে ধর্ম সকল পদার্থেরই কমবেশি রয়েছে তাকে পদার্থের সাধারণ ধর্ম বলে যেমন ওজন বিস্তৃতি রোধ স্থিতিস্থাপকতা ইত্যাদি,Physics,Physics,Physics,Physics
7,"যে ধর্ম সকল পদার্থের নেই তাকে পদার্থের বিশেষ ধর্ম বলে, যেমন তারতা, পাততা, দৃঢ়তা, ভঙ্গুরতা ইত্যাদি ধর্ম কেবলমাত্র কঠিন পদার্থের বেলায় দেখা যায়।",HSC Physics,যে ধর্ম সকল পদার্থের নেই তাকে পদার্থের বিশেষ ধর্ম বলে যেমন তারতা পাততা দৃঢ়তা ভঙ্গুরতা ইত্যাদি ধর্ম কেবলমাত্র কঠিন পদার্থের বেলায় দেখা যায়,Physics,Physics,Physics,Physics
8,সান্দ্রতা তরল ও বায়বীয় পদার্থের বিশেষ ধর্ম।,HSC Physics,সান্দ্রতা তরল ও বায়বীয় পদার্থের বিশেষ ধর্ম,Physics,Physics,Physics,Physics
9,পৃষ্ঠটান বা তলটান তরল পদার্থের বিশেষ ধর্ম।,HSC Physics,পৃষ্ঠটান বা তলটান তরল পদার্থের বিশেষ ধর্ম,Physics,Physics,Physics,Physics
10,তাপ একপ্রকার শক্তি যা কোনো বস্তুতে প্রয়োগ করলে বা বস্তুটিকে গরম করলে বস্তুটির তাপমাত্রা বৃদ্ধি পায় এবং বর্জন করলে তাপমাত্রা হ্রাস পায়।,HSC Physics,তাপ একপ্রকার শক্তি যা কোনো বস্তুতে প্রয়োগ করলে বা বস্তুটিকে গরম করলে বস্তুটির তাপমাত্রা বৃদ্ধি পায় এবং বর্জন করলে তাপমাত্রা হ্রাস পায়,Physics,Physics,Physics,Physics
